,vacancy,salary,link,site
0,Data Scientist (команда Поиска),от 350 000 ₽,https://hh.ru/vacancy/90547943?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
1,"Data Scientist в направление ""Работодатели""",ЗП не указана,https://hh.ru/vacancy/90547878?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
2,Data scientist / Аналитик данных HR-проектов,ЗП не указана,https://hh.ru/vacancy/92357631?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
3,Data scientist,от 150 000 ₽,https://hh.ru/vacancy/91945134?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
4,Junior Data Scientist в Блок Финансы (LLM),ЗП не указана,https://hh.ru/vacancy/92401159?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
5,Аналитик / Data scientist,ЗП не указана,https://hh.ru/vacancy/91834791?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
6,Data Scientist (DataLab),130 000 – 200 000 ₽,https://hh.ru/vacancy/91000409?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
7,Data Scientist,ЗП не указана,https://hh.ru/vacancy/92126316?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
8,Data Scientist,ЗП не указана,https://hh.ru/vacancy/91789730?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
9,Data Scientist (DataProd),150 000 – 230 000 ₽,https://hh.ru/vacancy/91000315?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
10,Data Scientist / Аналитик Data Science,ЗП не указана,https://hh.ru/vacancy/91939680?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
11,Data Scientist (Middle),ЗП не указана,https://hh.ru/vacancy/92228105?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
12,Data Scientist / ML engineer,ЗП не указана,https://hh.ru/vacancy/92355072?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
13,Data scientist,ЗП не указана,https://hh.ru/vacancy/91467319?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
14,Аналитик скоринга / Data Scientist,ЗП не указана,https://hh.ru/vacancy/92421850?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
15,Data Scientist (ОСАГО),ЗП не указана,https://hh.ru/vacancy/92361526?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
16,Data analyst/Data Scientist,от 120 000 ₽,https://hh.ru/vacancy/91803563?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
17,Стажер Data scientist,ЗП не указана,https://hh.ru/vacancy/92150169?query=data+scientist&hhtmFrom=vacancy_search_list,hh.ru
