,vacancy,salary,link,site
0,Data engineer,ЗП не указана,https://hh.ru/vacancy/73471184?query=data+engineer,hh.ru
1,Python developer (Machine Learning Engineer),ЗП не указана,https://hh.ru/vacancy/73468878?query=data+engineer,hh.ru
2,Middle/Senior Data Engineer в Sber AI Lab,ЗП не указана,https://hh.ru/vacancy/73471713?query=data+engineer,hh.ru
3,NLP исследователь в группу AI в медицине Sber AI Lab,ЗП не указана,https://hh.ru/vacancy/73469286?query=data+engineer,hh.ru
4,Data engineer,ЗП не указана,https://hh.ru/vacancy/72030869?query=data+engineer,hh.ru
5,Python developer (Machine Learning Engineer),ЗП не указана,https://hh.ru/vacancy/72074865?query=data+engineer,hh.ru
6,Middle/Senior Data Engineer в Sber AI Lab,ЗП не указана,https://hh.ru/vacancy/72868606?query=data+engineer,hh.ru
7,Data Engineer (Senior/Middle+),ЗП не указана,https://hh.ru/vacancy/73042116?query=data+engineer,hh.ru
8,Младший разработчик баз данных MS SQL/Data engineer,ЗП не указана,https://hh.ru/vacancy/72551483?query=data+engineer,hh.ru
9,Data Engineer,от 300 000 руб.,https://hh.ru/vacancy/74080730?query=data+engineer,hh.ru
10,Engineering manager (Serbia),от 5 000 USD,https://hh.ru/vacancy/73831803?query=data+engineer,hh.ru
11,Data Engineer DWH,150 000 – 200 000 руб.,https://hh.ru/vacancy/73828307?query=data+engineer,hh.ru
12,Senior Machine Learning Engineer,4 000 – 5 800 EUR,https://hh.ru/vacancy/73259890?query=data+engineer,hh.ru
13,Data Engineer,от 230 000 руб.,https://hh.ru/vacancy/73448242?query=data+engineer,hh.ru
14,Data Engineer,до 300 000 руб.,https://hh.ru/vacancy/74130973?query=data+engineer,hh.ru
15,Senior Data Engineer,4 000 – 6 000 EUR,https://hh.ru/vacancy/74105031?query=data+engineer,hh.ru
16,Data Engineer/Дата Инженер,ЗП не указана,https://hh.ru/vacancy/72368279?query=data+engineer,hh.ru
17,Junior Data Engineer / Data Analyst,ЗП не указана,https://hh.ru/vacancy/74099553?query=data+engineer,hh.ru
18,Data Engineer,ЗП не указана,https://hh.ru/vacancy/74105597?query=data+engineer,hh.ru
19,Data Scientist,ЗП не указана,https://hh.ru/vacancy/70243733?query=data+engineer,hh.ru
20,Data Engineer,175 000 – 250 000 руб.,https://hh.ru/vacancy/73765395?query=data+engineer,hh.ru
21,Дата-сайентист / Data Scientist (Computer Vision),ЗП не указана,https://hh.ru/vacancy/73765791?query=data+engineer,hh.ru
22,Lead Data Engineer,от 250 000 руб.,https://hh.ru/vacancy/73382630?query=data+engineer,hh.ru
23,Data Scientist,ЗП не указана,https://hh.ru/vacancy/74139791?query=data+engineer,hh.ru
